video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7340028333494717739,2024-02-26T16:38:55,13.0,US,,35.0,0.0,8.0,417.0,"new upload on youtube is live, tap in 🤎 #youtuber #blackyoutubers #nycreators #fyp #viralvideo ",False,,chaarrrlliiii,CharliRose,,,,,,False
7339491063834496287,2024-02-25T05:57:38,15.0,US,"xiao xiao, Weddings, grooms crying when they see their bride, Wedding TikTok, Emotional Wedding Moments, Surprise Wedding, xiao xiao singing",24800.0,1117.0,161.0,103500.0,#foryou #fyp ,False,,myersbabymama,Aaliyah,,,,,,False
7332919494785977605,2024-02-07T12:52:50,10.0,GH,,955.0,3.0,21.0,4009.0,no tzaziki😝🫧 #ghanatiktok🇬🇭🇬🇭🇬🇭🇬🇭 #fyp #xybzca ,False,,westanafia,westanafia,,,,,,False
7312224249849105694,2023-12-13T18:24:57,48.0,US,"Haitian Food, haitian tiktok, Parents, Haitian Chicken And Sauce, haitian comedy, we are haitian, Parent Life, Sauce For Chicken, caribbean, Haitian Food Recipes",63200.0,3628.0,842.0,401100.0,😂 u can’t drop nothing  #mrchristt #zoepapi🇭🇹 #viraltiktok #anglèakole #fyp #foryou #fypシ゚viral #haitiantiktok #carribeantiktok #viral #nigeriantiktok🇳🇬 #carribeanparents ,False,,mrchristt,Christopher 🇭🇹,,,,,,False
7337685093386898721,2024-02-20T09:05:50,66.0,GB,,4234.0,6.0,97.0,26700.0,Better quality on the next one…😭🇬🇭 #fypシ #ghanatiktok🇬🇭 #gillymoves #dancechallenge #egwu                                 Inspo: @Dance God 🦅🇬🇭 @Richiee🥇🇳🇬 ,False,,gilly_spykey,Gilly Spykey🦅❤️,,,,,,False
7338349170836868398,2024-02-22T04:04:59,15.0,US,"cleared remix dance, domino's pizza guy dancing, sturniolo triplets, cleared lyrics, lilithzplug, cleared dance tuto, Identical Triplets, dance your style",4300000.0,12000.0,10100.0,30600000.0,"Okay, last one!! And yes… we’re triplets :) #cleared #dance #dancechallenge #lilithzplug #triplets #fyp #pourtoi #slide #smooth ",False,,icm_triplets,☆icm_triplets☆,,,,,,False
7340039667854626090,2024-02-26T17:22:52,23.0,US,"she said she not bisexual, she says shes not bisexual but i can tell, she said shes not bi but i can tell shes feeling me, Amiri Jeans, amiri jeans song",90200.0,3466.0,776.0,440000.0,,False,,ayanna.ife,ayanna.ife,,,,,,False
7339227422224682286,2024-02-24T12:51:09,64.0,US,"joe rauth, Student Life, Life As A Student, Students Not Being Smart Enough, lazy smart student, joe rauth basketball, joe rauth edit, joe rauth new student, joe rauth is so fine",1200000.0,1992.0,2581.0,6400000.0,They’re actually super smart #fyp #school #student #pov ,False,,joerauth_,Joe rauth,,,,,,False
7325536298117238022,2024-01-18T15:22:15,33.0,NG,"firefly, overload music lyrics, firefly overloading cover, Music Lyrics, Song With Lyrics, Music Lyrics Videos, song lyrics, Cover Song, Lyrics Video, Cover",107000.0,1035.0,856.0,907400.0,Firefly - Overdose (cover) #firefly #overdose #cover #afrobeats #foryoupage #lyricsvideo #foryou #music #lyrics #naijalyrics #naijatiktok #xyzbc #fyp #brightolyrics ,False,,brightolyrics,brighto,,,,,,False
7339255683814083883,2024-02-24T14:40:57,101.0,US,"morgan 54548, morgan 54548 handicap, morgan54548 handicap sedona, sedona white woman black man, sedona arizona walker morgan, sedona and rylee, sedona white woman, sedona handicap, Sedona, rylee sedona",32000.0,444.0,2609.0,259400.0,#greenscreen #sedona #mindyourbusiness #fyp ,False,,omshanti2233,Om Shanti by Ashanti,,,,,,False
